id,default_code
__export__.product_template_5048_c030f91c,05900013
__export__.product_template_5042_0a7aa7d6,05900003
__export__.product_template_5041_311b4368,05900002
__export__.product_template_12880_063b925a,12290045
__export__.product_template_10558_d6486763,19250015
__export__.product_template_8506_d52352ae,12190010
__export__.product_template_8508_9de10033,12190012
__export__.product_template_8509_ab6e769c,12190013
__export__.product_template_8507_23b3b14f,12190011
__export__.product_template_8505_90109bb4,12190009
__export__.product_template_4548_4ef4329d,01320001
__export__.product_template_4549_5b6ca037,01320006
__export__.product_template_4551_7e36f1ca,01320008
__export__.product_template_4550_7a08ce58,01320007
__export__.product_template_4552_d8548f11,01320009
__export__.product_template_4554_1fa5db4b,01320011
__export__.product_template_4553_7ff184e5,01320010
__export__.product_template_4555_f35fcda0,01320012
__export__.product_template_4556_57ae5053,01320013
__export__.product_template_4558_0279e56d,01320017
__export__.product_template_4557_de6fe116,01320015
__export__.product_template_4559_163c6ed9,01320018
__export__.product_template_4560_d9387f20,01320020
__export__.product_template_4561_80918b1d,01320022
__export__.product_template_4562_65d07263,01320024
__export__.product_template_4563_f99d3368,01320029
__export__.product_template_4564_790439f2,01320031
__export__.product_template_4565_7c3710ad,01320032
__export__.product_template_4566_150bbcd9,01320036
__export__.product_template_10559_4083475b,19260001
__export__.product_template_10562_9a557c4b,19260008
__export__.product_template_10568_61fcc3c6,19260023
__export__.product_template_10569_16cf1223,19260024
__export__.product_template_10566_91331c95,19260019
__export__.product_template_10567_e75e8c34,19260022
__export__.product_template_10572_ae7f3795,19260027
__export__.product_template_10571_340506df,19260026
__export__.product_template_10570_2994748b,19260025
__export__.product_template_10564_29d8ec27,19260016
__export__.product_template_10573_0c3871d3,19270001
__export__.product_template_7028_2a6a09cc,10250208
__export__.product_template_6981_37344e69,10250056
__export__.product_template_7014_c22a9b73,10250131
__export__.product_template_7016_d2271e12,10250134
__export__.product_template_7018_6eb50424,10250136
__export__.product_template_7024_f161c67c,10250146
__export__.product_template_7010_6b2e6ad7,10250126
__export__.product_template_7011_1d46c327,10250127
__export__.product_template_7012_968954c6,10250128
__export__.product_template_7002_f75a76e6,10250116
__export__.product_template_7001_a5d6a06b,10250115
__export__.product_template_6965_0c7c2952,10250007
__export__.product_template_6978_5e79ff29,10250049
__export__.product_template_6977_b029814f,10250048
__export__.product_template_6983_caa48dec,10250058
__export__.product_template_6979_68011ebb,10250054
__export__.product_template_6980_2f2588b4,10250055
__export__.product_template_6982_f774f010,10250057
__export__.product_template_6971_8b60794c,10250038
__export__.product_template_6970_8bfd77be,10250037
__export__.product_template_6998_d32b19a0,10250110
__export__.product_template_6987_a192335a,10250066
__export__.product_template_7000_c25ca570,10250113
__export__.product_template_6975_bb12a138,10250043
__export__.product_template_6976_c7ad6505,10250044
__export__.product_template_6988_62db3454,10250078
__export__.product_template_6990_ddacf150,10250085
__export__.product_template_7182_6c23f183,10283051
__export__.product_template_7185_a4cc0e0d,10283057
__export__.product_template_7183_a5e9b122,10283052
__export__.product_template_7184_492ca780,10283053
__export__.product_template_10575_b47931dd,19280001
__export__.product_template_10581_049c87db,19280040
__export__.product_template_7981_503bbe18,10300115
__export__.product_template_6509_7199c0c0,06260002
__export__.product_template_4568_3c388ffd,01340005
__export__.product_template_4567_6e535848,01340004
__export__.product_template_4585_5fc857bc,01400002
__export__.product_template_4584_cdd6873b,01400001
__export__.product_template_4586_19b7e96f,01400003
__export__.product_template_4587_c8c2b15e,01400004
__export__.product_template_4588_6fba5908,01400005
__export__.product_template_4589_b6f716f1,01400008
__export__.product_template_4592_085d94eb,01400013
__export__.product_template_4590_6d3cdf9e,01400010
__export__.product_template_4594_2fd365d1,01400015
__export__.product_template_4591_5b8983e7,01400012
__export__.product_template_4593_151af293,01400014
__export__.product_template_4595_a7e767b5,01400019
__export__.product_template_4596_b0aa3fac,01400020
__export__.product_template_12812_43cd023d,12260001
__export__.product_template_12818_5f1e8f43,12260007
__export__.product_template_12822_2c4266b0,12260011
__export__.product_template_12823_f3f08e73,12260012
__export__.product_template_12824_1ef25b9b,12260013
__export__.product_template_12825_1a2f0d79,12260014
__export__.product_template_12826_0c0532d7,12260015
__export__.product_template_12827_35808fc9,12260016
__export__.product_template_12829_b15c3a18,12260018
__export__.product_template_12830_978aaf8a,12260019
__export__.product_template_12831_53be5e2f,12260020
__export__.product_template_12814_2a1da73d,12260003
__export__.product_template_4569_c9a77d74,01380001
__export__.product_template_4570_f623d4a4,01380002
__export__.product_template_4571_8f392185,01380003
__export__.product_template_4572_a26aa8ed,01380006
__export__.product_template_4573_dcbff66b,01380007
__export__.product_template_4574_2abd1458,01380009
__export__.product_template_4575_2095c2c5,01380010
__export__.product_template_4576_e3f7b7e1,01380011
__export__.product_template_4577_63f6e380,01380013
__export__.product_template_4578_e871375a,01380014
__export__.product_template_4583_f8d028b2,01380025
__export__.product_template_4579_db99d854,01380021
__export__.product_template_4580_bdd4272e,01380022
__export__.product_template_4581_f3f3e250,01380023
__export__.product_template_4582_761ccc34,01380024
__export__.product_template_4701_6ea55350,01420130
__export__.product_template_4700_0f64ec0d,01420129
__export__.product_template_4699_fa2ed7a9,01420128
__export__.product_template_4598_aee6d161,01420003
